STNAME,CBSAFP,CBSA,POPESTIMATE2019,area_km2,charging_locations,level2,dcfc,charging_locations_per_100kpeople,charging_locations_per_1000km2,level2_per_100kpeople,level2_per_1000km2,dcfc_per_100kpeople,dcfc_per_1000km2
Pennsylvania,20180,"DuBois, PA",79255,2964.714508,2,0,12,2.5235000946312534,0.6746012118884265,0,0,15.14100056778752,4.047607271330559
Pennsylvania,20700,"East Stroudsburg, PA",170271,1575.379455,5,14,11,2.9364953515278582,3.173838521335801,8.222186984278004,8.886747859740243,6.460289773361288,6.982444746938762
Pennsylvania,21500,"Erie, PA",269728,2069.551279,8,12,12,2.9659508838533633,3.86557225287289,4.448926325780046,5.7983583793093345,4.448926325780046,5.7983583793093345
Pennsylvania,23900,"Gettysburg, PA",103009,1343.396085,12,22,1,11.649467522255337,8.932585209968064,21.357357124134783,16.376406218274784,0.9707889601879448,0.7443821008306719
Pennsylvania,25420,"Harrisburg-Carlisle, PA",531669,2772.239759,32,71,26,6.018782362710634,11.54301315249263,13.354173367264218,25.611060432093023,4.89026066970239,9.378698186400262
Pennsylvania,26500,"Huntingdon, PA",45144,2265.337398,1,2,0,2.2151337940811624,0.44143534684187474,4.430267588162325,0.8828706936837495,0,0
Pennsylvania,26860,"Indiana, PA",84073,2142.730129,3,5,0,3.5683275248890842,1.4000829873055842,5.947212541481807,2.333471645509307,0,0
Pennsylvania,27780,"Johnstown, PA",130192,1782.850495,3,5,0,2.3042890500184345,1.682698582081612,3.840481750030724,2.8044976368026866,0,0
Pennsylvania,29540,"Lancaster, PA",545724,2444.751463,48,116,12,8.79565494645645,19.63389764826986,21.25616612060309,47.44858598331883,2.1989137366141125,4.908474412067465
Pennsylvania,30140,"Lebanon, PA",141793,937.089776,5,8,0,3.526267164105421,5.335668073706526,5.642027462568674,8.537068917930442,0,0
Pennsylvania,30380,"Lewistown, PA",46138,1064.602268,1,2,0,2.1674108110451256,0.9393179312670785,4.334821622090251,1.878635862534157,0,0
Pennsylvania,32740,"Meadville, PA",84629,2621.848897,2,4,0,2.3632560942466534,0.7628204669950512,4.726512188493307,1.5256409339901025,0,0
Pennsylvania,35260,"New Castle, PA",85512,925.211452,1,2,0,1.169426513237908,1.0808340059327326,2.338853026475816,2.161668011865465,0,0
Pennsylvania,35620,"New York-Newark-Jersey City, NY-NJ-PA",55809,1411.441244,3,8,0,5.3754770735902815,2.1254869890992074,14.334605529574084,5.667965304264554,0,0
Pennsylvania,36340,"Oil City, PA",50668,1746.388602,1,2,0,1.9736322728349256,0.5726102419901158,3.947264545669851,1.1452204839802316,0,0
Pennsylvania,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",4134985,5583.991375,219,464,50,5.296270724077597,39.21925828547685,11.221322447360752,83.09468422128428,1.2091942292414604,8.954168558328048
Pennsylvania,38300,"Pittsburgh, PA",2252865,11991.049324,131,353,47,5.814818020609313,10.92481537356405,15.668937108970134,29.43862463258099,2.0862324196079216,3.9195902485306133
Pennsylvania,39060,"Pottsville, PA",141359,2016.645873,1,3,0,0.7074186999059133,0.49587288149524306,2.12225609971774,1.4876186444857293,0,0
Pennsylvania,39740,"Reading, PA",421164,2218.082423,9,21,0,2.1369347807504915,4.057558865566107,4.98618115508448,9.46763735298758,0,0
Pennsylvania,42380,"Sayre, PA",60323,2971.786846,3,7,0,4.973227458846543,1.0094936667607821,11.604197403975267,2.355485222441825,0,0
Pennsylvania,42540,"Scranton--Wilkes-Barre, PA",553885,4522.236223,11,28,8,1.9859718172544842,2.43242490165689,5.0552009893750505,6.191627022399357,1.444343139821443,1.7690362921141016
Pennsylvania,42780,"Selinsgrove, PA",40372,851.544549,2,3,0,4.953928465272961,2.34867336341789,7.430892697909441,3.5230100451268345,0,0
Pennsylvania,43740,"Somerset, PA",73447,2782.573989,1,0,6,1.3615259983389383,0.35937948243359363,0,0,8.16915599003363,2.156276894601562
Pennsylvania,44300,"State College, PA",162385,2871.502921,20,48,9,12.316408535271115,6.964993785566134,29.559380484650674,16.715985085358724,5.542383840872001,3.1342472035047604
Pennsylvania,48700,"Williamsport, PA",113299,3182.485518,3,2,8,2.647860969646687,0.9426594349077569,1.7652406464311248,0.628439623271838,7.060962585724499,2.513758493087352
Pennsylvania,49620,"York-Hanover, PA",449058,2342.299893,13,21,14,2.8949489820914005,5.550100582274159,4.6764560479938,8.965547094442872,3.1176373653292004,5.977031396295248
Pennsylvania,49660,"Youngstown-Warren-Boardman, OH-PA",109424,1741.807476,7,10,14,6.397134083930399,4.018813845072738,9.138762977043427,5.741162635818197,12.794268167860798,8.037627690145476
Pennsylvania,NA,non-CBSA,726349,34411.040704,12,18,14,1.6520983714440303,0.34872528567859035,2.478147557166045,0.5230879285178855,1.9274481000180355,0.40684616662502204
Rhode Island,39300,"Providence-Warwick, RI-MA",1059361,2677.78714,124,374,24,11.705169437047427,46.306892040716875,35.304301366578535,139.66756147764605,2.265516665234986,8.962624265945202
South Carolina,12260,"Augusta-Richmond County, GA-SC",170872,2773.048987,3,4,0,1.7557001732290836,1.0818416890808429,2.3409335643054447,1.4424555854411236,0,0
South Carolina,13500,"Bennettsville, SC",26118,1242.867241,1,1,0,3.828777088597902,0.8045911638924597,3.828777088597902,0.8045911638924597,0,0
South Carolina,16700,"Charleston-North Charleston, SC",802122,6708.606016,33,68,7,4.114087383216019,4.9190547069383905,8.477513395717859,10.136233941570016,0.8726852025003677,1.0434358469263252
South Carolina,16740,"Charlotte-Concord-Gastonia, NC-SC",378991,3185.0149730000003,14,37,0,3.694019119187527,4.395583731530545,9.762764814995606,11.616899861902155,0,0
South Carolina,17900,"Columbia, SC",781060,5653.762055,41,78,16,5.249276624074975,7.251808548211002,9.98642869945971,13.79612357952337,2.048498194760966,2.829974067594537
South Carolina,22500,"Florence, SC",204911,3525.261684,10,15,22,4.8801674873481655,2.8366688479855844,7.320251231022249,4.255003271978376,10.736368472165964,6.240671465568285
South Carolina,23860,"Georgetown, SC",62680,2107.975277,4,7,0,6.381620931716656,1.8975554617000379,11.167836630504148,3.320722057975066,0,0
South Carolina,24860,"Greenville-Anderson, SC",852984,5169.517544,49,91,19,5.744539170723015,9.478640817627525,10.6684298884856,17.603190089879693,2.227474372321169,3.6753913374474076
South Carolina,24940,"Greenwood, SC",70811,1177.727678,1,1,0,1.4122099673779498,0.8490927220953026,1.4122099673779498,0.8490927220953026,0,0
South Carolina,25940,"Hilton Head Island-Bluffton, SC",222195,3189.0828629999996,23,43,9,10.351268030333717,7.212104855238439,19.35237066540651,13.483500381532735,4.050496185782758,2.8221279868324327
South Carolina,34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",354081,2934.453641,24,46,11,6.778110093453193,8.178694549702037,12.991377679118619,15.675831220262241,3.1066337928327137,3.7485683352801002
South Carolina,36700,"Orangeburg, SC",86175,2865.422661,2,1,8,2.3208587177255584,0.6979773096727108,1.1604293588627792,0.3489886548363554,9.283434870902234,2.791909238690843
South Carolina,42860,"Seneca, SC",79546,1622.673901,5,9,0,6.285671183969025,3.081333838498707,11.314208131144245,5.546400909297672,0,0
South Carolina,43900,"Spartanburg, SC",319785,2092.048331,23,69,3,7.192332348296511,10.99400987022417,21.576997044889534,32.982029610672505,0.9381303062995451,1.434001287420544
South Carolina,44940,"Sumter, SC",106721,1722.533207,1,1,0,0.9370227040601193,0.580540332073842,0.9370227040601193,0.580540332073842,0,0
South Carolina,46420,"Union, SC",27316,1331.69651,4,8,0,14.64343242055938,3.003687379191224,29.28686484111876,6.007374758382448,0,0
South Carolina,NA,non-CBSA,602346,30562.966601,6,10,4,0.9961052285563446,0.1963160212269343,1.660175380927241,0.32719336871155713,0.6640701523708964,0.13087734748462287
South Dakota,10100,"Aberdeen, SD",38839,4436.728163,3,6,0,7.724194752697031,0.6761739484105509,15.448389505394061,1.3523478968211018,0,0
