STNAME,CSAFP,CSA,POPESTIMATE2019,area_km2,charging_locations,level2,dcfc,charging_locations_per_100kpeople,charging_locations_per_1000km2,level2_per_100kpeople,level2_per_1000km2,dcfc_per_100kpeople,dcfc_per_1000km2
Pennsylvania,558,"Williamsport-Lock Haven, PA",113299,3182.485518,3,2,8,2.647860969646687,0.9426594349077569,1.7652406464311248,0.628439623271838,7.060962585724499,2.513758493087352
Pennsylvania,566,"Youngstown-Warren, OH-PA",109424,1741.807476,7,10,14,6.397134083930399,4.018813845072738,9.138762977043427,5.741162635818197,12.794268167860798,8.037627690145476
Pennsylvania,NA,non-CSA,2903856,54552.991248,121,282,44,4.166873288482624,2.2180268621738692,9.711225350017356,5.169285744901084,1.515226650357318,0.8065552226086797
Rhode Island,148,"Boston-Worcester-Providence, MA-RI-NH-CT",1059361,2677.78714,124,374,24,11.705169437047427,46.306892040716875,35.304301366578535,139.66756147764605,2.265516665234986,8.962624265945202
South Carolina,172,"Charlotte-Concord, NC-SC",378991,3185.0149730000003,14,37,0,3.694019119187527,4.395583731530545,9.762764814995606,11.616899861902155,0,0
South Carolina,192,"Columbia-Orangeburg-Newberry, SC",867235,8519.184716,43,79,24,4.958286969506536,5.04743134859385,9.109410943977123,9.273187826486376,2.7674159829803915,2.817170985261684
South Carolina,273,"Greenville-Spartanburg-Anderson, SC",1350442,11393.663964,82,178,22,6.072086028130049,7.196982485975659,13.180869670818888,15.622718079313017,1.6290962514495255,1.930897740139811
South Carolina,396,"Myrtle Beach-Conway, SC-NC",416761,5042.428918,28,53,11,6.718478936368806,5.552879466490479,12.717120843840956,10.510807561571264,2.6394024392877453,2.181488361835545
South Carolina,NA,non-CSA,2135285,49724.366599,77,142,42,3.606076003905802,1.548536568016304,6.650166137073038,2.855742761796301,1.9669505475849827,0.844656309827075
South Dakota,452,"Rapid City-Spearfish, SD",139619,9263.915817,15,23,20,10.743523445949334,1.6191856981767736,16.47340261712231,2.482751403871053,14.324697927932444,2.158914264235698
